t,ts_signal,ts_exec_next_open,signal,regime_active,close_tm1,close_tm2,mu_now,sigma_now,mu_prev,sigma_prev,lower_now,lower_prev
57,2025-01-07 09:00:00+00:00,2025-01-07 10:00:00+00:00,EXIT,False,3674.63,3667.77,3672.164333333334,18.272602566562714,3671.6253333333343,18.429734802456803,3644.75542948349,3643.980731129649
60,2025-01-07 12:00:00+00:00,2025-01-07 13:00:00+00:00,ENTER_LONG,False,3639.27,3657.61,3670.156333333334,19.311576231772328,3671.534333333334,18.517069905600277,3641.1889689856753,3643.7587284749334
79,2025-01-08 07:00:00+00:00,2025-01-08 08:00:00+00:00,ENTER_LONG,True,3308.77,3351.41,3515.738,137.61043384375574,3527.9503333333337,134.9318293431498,3309.3223492343664,3325.552589318609
90,2025-01-08 18:00:00+00:00,2025-01-08 19:00:00+00:00,ENTER_LONG,True,3263.06,3314.03,3395.769,83.72097822927458,3408.3093333333327,90.78166580440251,3270.187532656088,3272.136834626729
92,2025-01-08 20:00:00+00:00,2025-01-08 21:00:00+00:00,ENTER_LONG,True,3280.68,3282.83,3372.238666666666,59.295174830859764,3384.0826666666662,73.58808195776149,3283.2959044203767,3273.700543730024
98,2025-01-09 02:00:00+00:00,2025-01-09 03:00:00+00:00,EXIT,True,3345.96,3342.2,3345.376333333333,36.53323760480161,3346.6999999999994,37.242896235389665,3290.576476926131,3290.835655646915
110,2025-01-09 14:00:00+00:00,2025-01-09 15:00:00+00:00,ENTER_LONG,True,3221.04,3296.2,3320.4146666666666,32.97645692847485,3324.866333333334,27.881601040032788,3270.949981273954,3283.043931773285
112,2025-01-09 16:00:00+00:00,2025-01-09 17:00:00+00:00,EXIT,True,3320.58,3251.3,3315.69,33.61906859705268,3316.5866666666666,34.09292442069991,3265.261397104421,3265.4472800356166
114,2025-01-09 18:00:00+00:00,2025-01-09 19:00:00+00:00,ENTER_LONG,True,3250.48,3302.76,3310.3899999999994,33.73167383928643,3313.700333333333,32.54185883682055,3259.7924892410697,3264.8875450781024
116,2025-01-09 20:00:00+00:00,2025-01-09 21:00:00+00:00,ENTER_LONG,True,3195.63,3260.16,3302.3206666666665,38.613161998929264,3307.7413333333334,34.44462780883094,3244.4009236682728,3256.0743916200868
127,2025-01-10 07:00:00+00:00,2025-01-10 08:00:00+00:00,EXIT,True,3278.39,3264.18,3274.146666666666,45.727271755728246,3276.273666666666,47.331113057081396,3205.5557590330736,3205.276997081044
138,2025-01-10 18:00:00+00:00,2025-01-10 19:00:00+00:00,EXIT,True,3315.07,3247.48,3261.412,37.35473208755932,3260.956666666666,36.776677150365586,3205.379901868661,3205.7916509411175
142,2025-01-10 22:00:00+00:00,2025-01-10 23:00:00+00:00,EXIT,True,3264.85,3259.59,3262.000333333333,35.22958969231532,3263.8579999999997,36.76667362345056,3209.15594879486,3208.707989564824
153,2025-01-11 09:00:00+00:00,2025-01-11 10:00:00+00:00,ENTER_LONG,False,3224.64,3235.72,3267.4320000000002,26.86548186800305,3267.993000000001,26.13175082155807,3227.1337771979956,3228.795373767664
156,2025-01-11 12:00:00+00:00,2025-01-11 13:00:00+00:00,EXIT,False,3273.81,3256.1,3267.470666666667,27.08902187643959,3267.1496666666667,27.06904954412369,3226.837133852008,3226.546092350481
184,2025-01-12 16:00:00+00:00,2025-01-12 17:00:00+00:00,EXIT,False,3285.68,3269.1,3273.307,16.148222843396706,3271.9176666666663,16.803625339656758,3249.084665734905,3246.712228657181
191,2025-01-12 23:00:00+00:00,2025-01-13 00:00:00+00:00,ENTER_LONG,False,3240.62,3266.28,3274.277666666667,17.42489821746137,3275.423333333333,16.265612670771272,3248.140319340475,3251.0249143271762
193,2025-01-13 01:00:00+00:00,2025-01-13 02:00:00+00:00,EXIT,False,3308.56,3267.3,3275.134333333333,18.51830314100678,3274.1279999999992,17.464859652074683,3247.356878621823,3247.9307105218872
196,2025-01-13 04:00:00+00:00,2025-01-13 05:00:00+00:00,ENTER_LONG,False,3242.72,3255.96,3270.97,18.022141197242167,3273.116,18.360357767029836,3243.9367882041365,3245.5754633494553
219,2025-01-14 03:00:00+00:00,2025-01-14 04:00:00+00:00,EXIT,True,3157.36,3139.52,3145.3966666666665,89.51540661932016,3149.5403333333334,92.79052421029976,3011.123556737686,3010.3545470178838
254,2025-01-15 14:00:00+00:00,2025-01-15 15:00:00+00:00,EXIT,False,3298.94,3202.63,3219.180333333334,22.136954846791564,3214.9333333333343,18.320464574410252,3185.9749010631467,3187.452636471719
274,2025-01-16 10:00:00+00:00,2025-01-16 11:00:00+00:00,EXIT,True,3336.23,3316.2,3328.658333333333,81.19797177611984,3325.477,82.69486199879651,3206.861375669153,3201.4347070018052
287,2025-01-16 23:00:00+00:00,2025-01-17 00:00:00+00:00,ENTER_LONG,True,3297.62,3320.08,3362.828666666667,43.20272728531026,3364.2243333333336,41.724635383534405,3298.0245757387015,3301.637380258032
290,2025-01-17 02:00:00+00:00,2025-01-17 03:00:00+00:00,EXIT,True,3386.31,3313.68,3358.6596666666665,42.72898465782791,3360.2823333333336,44.63024808978276,3294.5661896799247,3293.3369611986595
318,2025-01-18 06:00:00+00:00,2025-01-18 07:00:00+00:00,ENTER_LONG,True,3294.0,3365.69,3410.409666666667,49.06497572833621,3410.878000000001,48.00724461995291,3336.8122030741624,3338.8671330700718
