[auto] roadmap=1000 candidates(filter=all)=594 already_done=204 todo=390 workers=10
[1/390] ok=True T1-PS-v2_bol_long-win_up-BTC sh=2.3225 tr=23 elapsed=3.9s wall_avg=4s eta=3min pass=0
[2/390] ok=True T1-PS-v2_bol_long-win_up-SOL sh=0.9808 tr=48 elapsed=4.1s wall_avg=2s eta=1min pass=0
[3/390] ok=True T1-PS-v2_bol_long-win_down-BTC sh=1.1595 tr=24 elapsed=4.1s wall_avg=1s eta=1min pass=0
[4/390] ok=True T1-PS-v2_bol_long-ns_down-BTC sh=2.1495 tr=28 elapsed=4.0s wall_avg=1s eta=1min pass=0
[5/390] ok=True T1-PS-v2_bol_long-win_down-SOL sh=1.893 tr=63 elapsed=4.1s wall_avg=1s eta=1min pass=1
[6/390] ok=True T1-PS-v2_bol_long-ns_up-BTC sh=1.3634 tr=20 elapsed=4.2s wall_avg=1s eta=0min pass=1
[7/390] ok=True T1-PS-v2_bol_long-ns_up-SOL sh=1.0791 tr=42 elapsed=4.1s wall_avg=1s eta=0min pass=1
[8/390] ok=True T1-PS-v2_bol_long-ns_up-ETH sh=1.5383 tr=32 elapsed=4.2s wall_avg=1s eta=0min pass=2
[9/390] ok=True T1-PS-v2_bol_long-win_up-ETH sh=1.3758 tr=32 elapsed=4.3s wall_avg=1s eta=0min pass=2
[10/390] ok=True T1-PS-v2_bol_long-win_down-ETH sh=3.0428 tr=48 elapsed=4.5s wall_avg=0s eta=0min pass=3
[11/390] ok=True T1-PS-v2_bol_long-ns_down-ETH sh=1.4152 tr=45 elapsed=4.1s wall_avg=1s eta=0min pass=3
[12/390] ok=True T1-PS-v2_bol_long-ns_down-SOL sh=1.8988 tr=69 elapsed=4.3s wall_avg=1s eta=0min pass=4
[13/390] ok=True T1-PS-v2_bol_long-period_down-BTC sh=1.1595 tr=24 elapsed=4.2s wall_avg=1s eta=0min pass=4
[14/390] ok=True T1-PS-v2_bol_long-period_up-ETH sh=1.3758 tr=32 elapsed=4.3s wall_avg=1s eta=0min pass=4
