[V2-RB012 P52 Sensitivity] total jobs: 48
  done: 0 | todo: 48
[1/48] P52-MA18/55 BTC sh=2.6126 tr=32 pass=True
[2/48] P52-MA18/50 BTC sh=2.1655 tr=38 pass=True
[3/48] P52-MA18/45 BTC sh=2.0754 tr=38 pass=True
[4/48] P52-MA20/55 BTC sh=2.2488 tr=33 pass=True
[5/48] P52-MA22/45 BTC sh=1.9736 tr=39 pass=True
[6/48] P52-MA18/60 BTC sh=3.0236 tr=31 pass=True
[7/48] P52-MA22/50 BTC sh=2.0486 tr=34 pass=True
[8/48] P52-MA20/60 BTC sh=2.8717 tr=30 pass=True
[9/48] P52-MA20/50 BTC sh=2.3908 tr=36 pass=True
[10/48] P52-MA20/45 BTC sh=1.9354 tr=37 pass=True
[11/48] P52-MA25/55 BTC sh=2.8928 tr=29 pass=False
[12/48] P52-MA22/55 BTC sh=2.3151 tr=31 pass=True
[13/48] P52-MA22/60 BTC sh=2.9575 tr=31 pass=True
[14/48] P52-MA18/45 ETH sh=2.1503 tr=36 pass=True
[15/48] P52-MA25/45 BTC sh=2.002 tr=39 pass=True
[16/48] P52-MA25/50 BTC sh=2.7812 tr=34 pass=True
[17/48] P52-MA18/50 ETH sh=2.2412 tr=34 pass=True
[18/48] P52-MA18/60 ETH sh=2.3066 tr=23 pass=False
[19/48] P52-MA18/55 ETH sh=2.6068 tr=25 pass=False
[20/48] P52-MA25/60 BTC sh=3.099 tr=26 pass=False
[21/48] P52-MA20/45 ETH sh=1.4823 tr=38 pass=True
[22/48] P52-MA22/55 ETH sh=1.8029 tr=26 pass=False
[23/48] P52-MA20/55 ETH sh=1.9885 tr=25 pass=False
[24/48] P52-MA22/45 ETH sh=1.3069 tr=37 pass=True
[25/48] P52-MA22/50 ETH sh=1.2597 tr=33 pass=True
[26/48] P52-MA22/60 ETH sh=2.1543 tr=22 pass=False
[27/48] P52-MA20/50 ETH sh=1.8807 tr=34 pass=True
[28/48] P52-MA20/60 ETH sh=2.4805 tr=24 pass=False
[29/48] P52-MA25/45 ETH sh=1.3504 tr=39 pass=True
[30/48] P52-MA25/50 ETH sh=1.252 tr=35 pass=True
[31/48] P52-MA25/55 ETH sh=1.7632 tr=26 pass=False
[32/48] P52-MA25/60 ETH sh=1.9236 tr=24 pass=False
[33/48] P52-MA18/45 SOL sh=1.1536 tr=36 pass=True
[34/48] P52-MA20/45 SOL sh=0.9428 tr=37 pass=False
[35/48] P52-MA20/55 SOL sh=1.409 tr=30 pass=True
[36/48] P52-MA18/50 SOL sh=1.5481 tr=33 pass=True
[37/48] P52-MA18/55 SOL sh=1.6925 tr=31 pass=True
[38/48] P52-MA18/60 SOL sh=1.6561 tr=26 pass=False
[39/48] P52-MA20/60 SOL sh=1.5343 tr=25 pass=False
[40/48] P52-MA20/50 SOL sh=1.2176 tr=32 pass=True
[41/48] P52-MA22/55 SOL sh=1.8386 tr=28 pass=False
[42/48] P52-MA22/45 SOL sh=0.9708 tr=40 pass=False
[43/48] P52-MA22/50 SOL sh=1.3081 tr=30 pass=True
[44/48] P52-MA25/55 SOL sh=1.319 tr=29 pass=False
[45/48] P52-MA25/45 SOL sh=0.9926 tr=40 pass=False
[46/48] P52-MA22/60 SOL sh=2.0112 tr=25 pass=False
[47/48] P52-MA25/60 SOL sh=1.3685 tr=24 pass=False
[48/48] P52-MA25/50 SOL sh=1.0623 tr=32 pass=True

DONE wall=16s pass=29/48
